s_true,E,B,s_hat,rel_bias,abs_bias,recovered,realistic
0.6,333333.3333333334,4.309,0.5831655544195055,-2.8057409300824196,-0.016834445580494517,True,False
0.7,333333.3333333334,4.309,0.6487112764320103,-7.326960509712806,-0.051288723567989636,True,False
0.8,333333.3333333334,4.309,0.7397854238034788,-7.526822024565158,-0.06021457619652126,True,False
0.9,333333.3333333334,4.309,0.8186414045590164,-9.039843937887076,-0.08135859544098367,True,False
1.0,333333.3333333334,4.309,0.9042336977682074,-9.576630223179261,-0.09576630223179261,True,False
0.1,333333.3333333334,6.564,0.09822851131952676,-1.7714886804732488,-0.0017714886804732488,True,False
0.2,333333.3333333334,6.564,0.18616657280289478,-6.916713598552615,-0.01383342719710523,True,False
0.3,333333.3333333334,6.564,0.29493929452310425,-1.6869018256319146,-0.005060705476895744,True,False
0.4,333333.3333333334,6.564,0.38617677903958136,-3.455805240104665,-0.013823220960418658,True,False
0.5,333333.3333333334,6.564,0.47822352919068173,-4.355294161863654,-0.02177647080931827,True,False
0.6,333333.3333333334,6.564,0.5827827280157468,-2.86954533070886,-0.017217271984253157,True,False
0.7,333333.3333333334,6.564,0.6889114998523578,-1.5840714496631683,-0.011088500147642177,True,False
0.8,333333.3333333334,6.564,0.8272241986861418,3.4030248357677233,0.027224198686141787,True,False
0.9,333333.3333333334,6.564,0.8953680203401969,-0.5146644066447899,-0.004631979659803109,True,False
1.0,333333.3333333334,6.564,0.9207498545223726,-7.925014547762743,-0.07925014547762743,True,False
0.1,333333.3333333334,10.0,0.10522627646361721,5.226276463617202,0.005226276463617202,True,False
0.2,333333.3333333334,10.0,0.2117587290231064,5.8793645115532005,0.011758729023106401,True,False
0.3,333333.3333333334,10.0,0.33645848442235277,12.15282814078426,0.03645848442235278,False,False
0.4,333333.3333333334,10.0,0.43958650733919685,9.896626834799207,0.03958650733919683,True,False
0.5,333333.3333333334,10.0,0.5137317191605718,2.746343832114362,0.01373171916057181,True,False
0.6,333333.3333333334,10.0,0.6287333506601483,4.788891776691395,0.02873335066014837,True,False
0.7,333333.3333333334,10.0,0.7577967925335087,8.256684647644112,0.05779679253350878,True,False
0.8,333333.3333333334,10.0,0.78505006209837,-1.8687422377037521,-0.014949937901630017,True,False
0.9,333333.3333333334,10.0,0.9673981972963909,7.488688588487872,0.06739819729639085,True,False
1.0,333333.3333333334,10.0,0.999,-0.10000000000000009,-0.0010000000000000009,True,False
0.1,466666.6666666667,0.8,0.07810346968790426,-21.89653031209575,-0.02189653031209575,False,False
0.2,466666.6666666667,0.8,0.15579965757912073,-22.10017121043964,-0.04420034242087928,False,False
0.3,466666.6666666667,0.8,0.22669365045070428,-24.435449849765238,-0.07330634954929571,False,False
0.4,466666.6666666667,0.8,0.2932449757877457,-26.68875605306357,-0.1067550242122543,False,False
0.5,466666.6666666667,0.8,0.39071586774474626,-21.856826451050747,-0.10928413225525374,False,False
0.6,466666.6666666667,0.8,0.4408206670149448,-26.52988883084253,-0.15917933298505516,False,False
0.7,466666.6666666667,0.8,0.5344925357091725,-23.643923470118203,-0.1655074642908274,False,False
0.8,466666.6666666667,0.8,0.6185318427940381,-22.68351965074525,-0.181468157205962,False,False
0.9,466666.6666666667,0.8,0.6886163312419411,-23.48707430645099,-0.21138366875805892,False,False
1.0,466666.6666666667,0.8,0.7383950098160946,-26.16049901839054,-0.2616049901839054,False,False
0.1,466666.6666666667,1.219,0.07985572714033976,-20.14427285966025,-0.02014427285966025,False,False
0.2,466666.6666666667,1.219,0.16263779218464067,-18.68110390767967,-0.037362207815359344,False,False
0.3,466666.6666666667,1.219,0.2382468996246418,-20.584366791786067,-0.061753100375358194,False,False
0.4,466666.6666666667,1.219,0.3190447900775039,-20.238802480624027,-0.08095520992249611,False,False
0.5,466666.6666666667,1.219,0.39391839046175936,-21.21632190764813,-0.10608160953824064,False,False
0.6,466666.6666666667,1.219,0.47577848766158,-20.703585389736666,-0.12422151233841999,False,False
0.7,466666.6666666667,1.219,0.5565319330861819,-20.49543813054544,-0.14346806691381808,False,False
0.8,466666.6666666667,1.219,0.6624669916602627,-17.19162604246717,-0.13753300833973736,False,False
0.9,466666.6666666667,1.219,0.7308006784192919,-18.799924620078684,-0.16919932158070816,False,False
1.0,466666.6666666667,1.219,0.796024053898978,-20.3975946101022,-0.203975946101022,False,False
0.1,466666.6666666667,1.857,0.08951119394135669,-10.488806058643316,-0.010488806058643316,False,False
0.2,466666.6666666667,1.857,0.17477105605628654,-12.614471971856736,-0.025228943943713472,False,False
0.3,466666.6666666667,1.857,0.2550484266743872,-14.983857775204262,-0.04495157332561278,False,False
0.4,466666.6666666667,1.857,0.35076453381032735,-12.308866547418168,-0.04923546618967267,False,False
0.5,466666.6666666667,1.857,0.43073189835074177,-13.853620329851646,-0.06926810164925823,False,False
0.6,466666.6666666667,1.857,0.5330320228721332,-11.161329521311123,-0.06696797712786673,False,False
0.7,466666.6666666667,1.857,0.621117056538984,-11.268991923002284,-0.07888294346101599,False,False
0.8,466666.6666666667,1.857,0.7134409873208071,-10.819876584899122,-0.08655901267919297,False,False
0.9,466666.6666666667,1.857,0.7834132131128556,-12.954087431904934,-0.11658678688714441,False,False
1.0,466666.6666666667,1.857,0.8471451228345265,-15.285487716547353,-0.15285487716547352,False,False
0.1,466666.6666666667,2.828,0.0937088814601133,-6.291118539886703,-0.006291118539886703,True,False
0.2,466666.6666666667,2.828,0.19667147193076284,-1.6642640346185844,-0.003328528069237169,True,False
0.3,466666.6666666667,2.828,0.26250867537761186,-12.497108207462713,-0.037491324622388134,False,False
0.4,466666.6666666667,2.828,0.3709465654002266,-7.263358649943361,-0.029053434599773442,True,False
0.5,466666.6666666667,2.828,0.4705620944605648,-5.887581107887041,-0.029437905539435205,True,False
0.6,466666.6666666667,2.828,0.5631929192201709,-6.134513463304847,-0.03680708077982908,True,False
0.7,466666.6666666667,2.828,0.6367621732790388,-9.03397524585159,-0.06323782672096112,True,False
0.8,466666.6666666667,2.828,0.7206263912025913,-9.921701099676092,-0.07937360879740873,True,False
0.9,466666.6666666667,2.828,0.7993447279041266,-11.183919121763715,-0.10065527209587344,False,False
1.0,466666.6666666667,2.828,0.9202102571900304,-7.978974280996964,-0.07978974280996964,True,False
0.1,466666.6666666667,4.309,0.09912858802488297,-0.8714119751170313,-0.0008714119751170313,True,False
0.2,466666.6666666667,4.309,0.19087593060070537,-4.5620346996473184,-0.009124069399294638,True,False
0.3,466666.6666666667,4.309,0.31179695119101863,3.932317063672882,0.011796951191018645,True,False
0.4,466666.6666666667,4.309,0.3782207663724439,-5.444808406889032,-0.021779233627556127,True,False
0.5,466666.6666666667,4.309,0.46633793739114954,-6.732412521770092,-0.03366206260885046,True,False
0.6,466666.6666666667,4.309,0.5844226824092452,-2.5962195984591263,-0.015577317590754758,True,False
0.7,466666.6666666667,4.309,0.7358269280927309,5.118132584675846,0.035826928092730914,True,False
0.8,466666.6666666667,4.309,0.7872472107055873,-1.594098661801588,-0.012752789294412703,True,False
0.9,466666.6666666667,4.309,0.9386038879213564,4.289320880150709,0.038603887921356383,True,False
1.0,466666.6666666667,4.309,0.999,-0.10000000000000009,-0.0010000000000000009,True,False
0.1,466666.6666666667,6.564,0.10948821979929028,9.48821979929028,0.009488219799290279,True,False
0.2,466666.6666666667,6.564,0.21923489825790268,9.617449128951336,0.01923489825790267,True,False
0.3,466666.6666666667,6.564,0.30487843996767533,1.6261466558917803,0.004878439967675341,True,False
0.4,466666.6666666667,6.564,0.4427216075169795,10.680401879244863,0.042721607516979454,False,False
0.5,466666.6666666667,6.564,0.5351237638346621,7.024752766932418,0.03512376383466209,True,False
0.6,466666.6666666667,6.564,0.666338610825457,11.056435137576168,0.066338610825457,False,False
0.7,466666.6666666667,6.564,0.8037743389765758,14.824905568082263,0.10377433897657584,False,False
0.8,466666.6666666667,6.564,0.8099349266298274,1.2418658287284141,0.009934926629827312,True,False
0.9,466666.6666666667,6.564,0.9363473250588714,4.038591673207933,0.036347325058871394,True,False
1.0,466666.6666666667,6.564,0.999,-0.10000000000000009,-0.0010000000000000009,True,False
0.1,466666.6666666667,10.0,0.1131362821954665,13.136282195466489,0.01313628219546649,False,False
0.2,466666.6666666667,10.0,0.2198828421641967,9.941421082098348,0.019882842164196696,True,False
0.3,466666.6666666667,10.0,0.3529663647232693,17.65545490775644,0.05296636472326932,False,False
0.4,466666.6666666667,10.0,0.4534210559291953,13.355263982298817,0.05342105592919527,False,False
0.5,466666.6666666667,10.0,0.601339422089159,20.267884417831805,0.10133942208915903,False,False
0.6,466666.6666666667,10.0,0.6765480525046956,12.75800875078261,0.07654805250469565,False,False
0.7,466666.6666666667,10.0,0.8253501850668497,17.907169295264243,0.1253501850668497,False,False
0.8,466666.6666666667,10.0,0.9568354839420085,19.60443549275105,0.1568354839420084,False,False
0.9,466666.6666666667,10.0,0.999,10.999999999999996,0.09899999999999998,False,False
1.0,466666.6666666667,10.0,0.999,-0.10000000000000009,-0.0010000000000000009,True,False
0.1,600000.0,0.8,0.08034419508881728,-19.655804911182724,-0.019655804911182725,False,False
0.2,600000.0,0.8,0.15767282819298079,-21.163585903509613,-0.042327171807019226,False,False
0.3,600000.0,0.8,0.24640189173653648,-17.86603608782117,-0.053598108263463506,False,False
0.4,600000.0,0.8,0.3376844518057478,-15.578887048563056,-0.062315548194252224,False,False
0.5,600000.0,0.8,0.41489180893068395,-17.02163821386321,-0.08510819106931605,False,False
0.6,600000.0,0.8,0.4869205597379248,-18.84657337701253,-0.11307944026207517,False,False
0.7,600000.0,0.8,0.5772510287322267,-17.535567323967612,-0.12274897126777329,False,False
0.8,600000.0,0.8,0.6709675797266426,-16.129052534169684,-0.12903242027335748,False,False
0.9,600000.0,0.8,0.7506772573246043,-16.591415852821743,-0.1493227426753957,False,False
1.0,600000.0,0.8,0.8124521925169296,-18.75478074830704,-0.18754780748307043,False,False
0.1,600000.0,1.219,0.0894923903704295,-10.507609629570508,-0.010507609629570508,False,False
