s,h,vaf0,delta_t,fisher,cr_bound,identifiable
0.28,0.2,0.05,0.6,205.34544543653917,0.06978425761024379,1
0.28,0.2,0.05,1.5,292.57564506267323,0.058462975390474174,1
0.28,0.2,0.05,3.0,475.07167288400814,0.04587968550533059,1
0.28,0.2,0.05,5.0,641.7367580541288,0.03947494576654868,1
0.28,0.2,0.05,6.63,703.0248417110987,0.037715047963159665,1
0.28,0.2,0.1,0.6,379.1843959316634,0.051354058495943926,1
0.28,0.2,0.1,1.5,495.7650067104498,0.04491196589072837,1
0.28,0.2,0.1,3.0,663.9324321948255,0.03880950093856327,1
0.28,0.2,0.1,5.0,765.091320788659,0.03615291851584876,1
0.28,0.2,0.1,6.63,797.7613214840585,0.03540491139785431,1
0.28,0.2,0.15,0.6,525.6146403490484,0.04361805273956678,1
0.28,0.2,0.15,1.5,643.080625109122,0.03943367813956316,1
0.28,0.2,0.15,3.0,773.6755476544438,0.03595179382395766,1
0.28,0.2,0.15,5.0,835.2448577747828,0.03460135408243225,1
0.28,0.2,0.15,6.63,852.8357814703163,0.03424264420480504,1
0.28,0.4,0.01,0.6,22.781335142939163,0.20951272883414065,0
0.28,0.4,0.01,1.5,35.6289078061718,0.1675323750205865,0
0.28,0.4,0.01,3.0,80.81286122961728,0.11123968701216112,1
0.28,0.4,0.01,5.0,200.03955133442756,0.07070368740128875,1
0.28,0.4,0.01,6.63,283.66525265024734,0.05937408498318759,1
0.28,0.4,0.03,0.6,66.5147686270663,0.12261425328307772,1
0.28,0.4,0.03,1.5,100.06819281666063,0.0999659210202417,1
0.28,0.4,0.03,3.0,192.72717409470283,0.07203250586165331,1
0.28,0.4,0.03,5.0,320.632274727361,0.055846554218773374,1
0.28,0.4,0.03,6.63,371.7292704570432,0.051866461536447785,1
0.28,0.4,0.05,0.6,107.9024613859433,0.09626852643758196,1
0.28,0.4,0.05,1.5,156.69373109884214,0.07988664621491877,1
0.28,0.4,0.05,3.0,267.7845627544532,0.0611092890881605,1
0.28,0.4,0.05,5.0,375.8947271548202,0.051578283287333306,1
0.28,0.4,0.05,6.63,411.4284550750533,0.04930067183036991,1
0.28,0.4,0.1,0.6,201.7859887033503,0.07039705585352347,1
0.28,0.4,0.1,1.5,271.6053120879778,0.060677945865452054,1
0.28,0.4,0.1,3.0,382.3755672230358,0.05113931811266927,1
0.28,0.4,0.1,5.0,448.0094114950542,0.0472450628713093,1
0.28,0.4,0.1,6.63,465.2166924481875,0.04636308811267574,1
0.28,0.4,0.15,0.6,283.1288054902149,0.05943030672006524,1
0.28,0.4,0.15,1.5,358.29998905019863,0.052829512430517346,1
0.28,0.4,0.15,3.0,449.42740171469416,0.0471704724448585,1
0.28,0.4,0.15,5.0,488.28155189019947,0.04525482000606689,1
0.28,0.4,0.15,6.63,496.224757379866,0.04489115567223322,1
0.28,0.6,0.01,0.6,13.369667330252092,0.2734888968422292,0
0.28,0.6,0.01,1.5,20.977479369248872,0.21833499406363774,0
0.28,0.6,0.01,3.0,48.32346981592743,0.14385366950323916,1
0.28,0.6,0.01,5.0,126.0845004978319,0.0890572230247725,1
0.28,0.6,0.01,6.63,183.9754562443834,0.07372589538914885,1
0.28,0.6,0.03,0.6,39.183979399421574,0.15975178896870326,0
0.28,0.6,0.03,1.5,59.475066264922646,0.1296679165109459,1
0.28,0.6,0.03,3.0,118.38156354547698,0.09190898376581251,1
0.28,0.6,0.03,5.0,206.9553383052238,0.0695123039725942,1
0.28,0.6,0.03,6.63,241.09470476907512,0.06440300979135627,1
0.28,0.6,0.05,0.6,63.80400532516901,0.1251918417868927,1
0.28,0.6,0.05,1.5,93.91223809349489,0.10319030703471961,1
0.28,0.6,0.05,3.0,167.15583984236702,0.0773462429672035,1
0.28,0.6,0.05,5.0,243.5581322354704,0.06407648538318088,1
0.28,0.6,0.05,6.63,266.26904779650835,0.06128294922045457,1
0.28,0.6,0.1,0.6,120.41681531591883,0.09112896366336572,1
0.28,0.6,0.1,1.5,165.6311539058929,0.07770142547818547,1
0.28,0.6,0.1,3.0,243.5719292587283,0.06407467056551792,1
0.28,0.6,0.1,5.0,290.40414159418253,0.05868114740701283,1
0.28,0.6,0.1,6.63,299.92628353658216,0.057742121596475356,1
0.28,0.6,0.15,0.6,170.47597826014578,0.07658935363265983,1
0.28,0.6,0.15,1.5,221.50417871133874,0.0671906802779709,1
0.28,0.6,0.15,3.0,288.8755963385773,0.05883619416234159,1
