scenario,axis,s_true,h_true,s_inf,h_inf,s_err,h_err,s_lo,s_hi,h_lo,h_hi,s_in_ci,h_in_ci,h_ci_width,h_overlap_010,h_mass_015,h_entropy,rho,fisher_h,cr_bound_h,elapsed_s,status
delta_t=6.63y (best),delta_t,1.0,0.3,1.1249152542372882,0.2911392405063291,0.12491525423728822,-0.008860759493670878,0.9849430486397033,2.5981271801193495,0.21623466385589846,0.3235188916249462,1,1,0.10728422776904772,0.4930052255135945,0.9999748669876096,0.5384373686097983,0.9999999723901536,1640.0976523543843,0.024692504780467143,0.641628708999999,ok
delta_t=6.63y (best),delta_t,1.0,0.6,1.885084745762712,0.5949367088607594,0.885084745762712,-0.005063291139240533,0.6774227547386278,2.877958779949202,0.5497097420814483,0.6199075969085003,1,1,0.07019785482705199,0.36610979904396607,0.999999977305361,0.44113734042297226,0.9999999654876923,2283.5431144907316,0.020926441906532953,0.6515236669999993,ok
delta_t=6.63y (best),delta_t,1.0,1.0,0.9728813559322035,1.0,-0.027118644067796516,0.0,0.8862855961614385,1.0707992529258403,0.9878426468523174,0.9993601393080167,1,0,0.01151749245569933,0.07198693943831151,1.0,0.013764453619580484,0.9999999562844107,3776721.132720808,0.0005145677227979488,0.6519303749999956,ok
n_tps=2 (worst),n_tps,0.1,0.0,0.2127118644067797,0.9113924050632911,0.11271186440677969,0.9113924050632911,0.08722560150448985,0.287641436661185,0.03536126564633765,0.9476052418680257,1,0,0.9122439762216881,0.25381029161816876,0.1455574887379869,0.9999231704337921,0.1304229200293939,61.196120856926846,0.12783154948704314,0.35374412500000574,ok
n_tps=2 (worst),n_tps,0.1,0.3,0.06067796610169492,1.0,-0.03932203389830508,0.7,0.01,0.1454680772841765,0.03602435829693097,0.9480642558403104,1,1,0.9120398975433794,0.4311666829947706,0.29424038807341163,0.9999577364730018,0.10111408869807391,36.38440108747215,0.16578391248715404,0.34767079099999876,ok
n_tps=2 (worst),n_tps,0.1,0.6,0.01,0.0,-0.09000000000000001,-0.6,0.01,0.04547527816158714,0.03626685135252388,0.9482427746254244,0,1,0.9119759232729006,0.4261001137371005,0.28878840306615333,0.9999680907700926,0.08256088468180055,24.092033185448358,0.20373388819861793,0.33869245900000067,ok
n_tps=2 (worst),n_tps,0.1,1.0,0.06067796610169492,0.0,-0.03932203389830508,-1.0,0.01,0.14304491790342388,0.03647705549497432,0.9483714060545322,1,0,0.9118943505595578,0.2419442370180684,0.1367491146064916,0.9999752522831408,0.06633258836535354,15.45959719800477,0.2543319452334182,0.3442709999999991,ok
n_tps=2 (worst),n_tps,0.3,0.0,0.31406779661016954,0.4810126582278481,0.014067796610169547,0.4810126582278481,0.20441662171724306,0.3687556622707918,0.03397353101755199,0.9466302560653963,1,0,0.9126567250478443,0.2583124088336227,0.14912140437527047,0.9998160164561715,0.21463248659653017,86.42456207980808,0.10756758197922833,0.34028041699999534,ok
n_tps=2 (worst),n_tps,0.3,0.3,0.26338983050847464,0.6329113924050633,-0.036610169491525346,0.33291139240506334,0.15876112317965502,0.32418695443540463,0.034054721265810724,0.9466880765462665,1,1,0.9126333552804557,0.4346830436625722,0.2973001515747177,0.9998236297748204,0.17010170280947295,52.349771463910976,0.13821099863766328,0.3419705000000022,ok
n_tps=2 (worst),n_tps,0.3,0.6,0.31406779661016954,0.25316455696202533,0.014067796610169547,-0.34683544303797464,0.19454639979170854,0.3614979848527,0.03372686440458737,0.9464539817880242,1,1,0.9127271173834368,0.42187704088210215,0.28502360612110195,0.9997918357611849,0.1408739417212311,35.08691940038051,0.16882135449004348,0.3443770410000013,ok
