s,h,vaf0,delta_t,rho,identifiable
0.28,0.2,0.1,3.0,0.6744190504826417,1
0.28,0.2,0.1,5.0,0.917453530614693,1
0.28,0.2,0.1,6.63,0.9776306567544942,1
0.28,0.2,0.15,0.6,0.3110354374337787,0
0.28,0.2,0.15,1.5,0.49018051668192514,0
0.28,0.2,0.15,3.0,0.7721897062860275,1
0.28,0.2,0.15,5.0,0.9478818701954048,1
0.28,0.2,0.15,6.63,0.9862098829593943,1
0.28,0.4,0.01,0.6,0.018259592401081628,0
0.28,0.4,0.01,1.5,0.03810219322099267,0
0.28,0.4,0.01,3.0,0.12253542957713609,0
0.28,0.4,0.01,5.0,0.428337739061982,0
0.28,0.4,0.01,6.63,0.7466006303137676,1
0.28,0.4,0.03,0.6,0.05399809421543856,0
0.28,0.4,0.03,1.5,0.10838972490286854,0
0.28,0.4,0.03,3.0,0.3000004263843265,0
0.28,0.4,0.03,5.0,0.6969264085630301,1
0.28,0.4,0.03,6.63,0.9004203756990045,1
0.28,0.4,0.05,0.6,0.08873225076509303,0
0.28,0.4,0.05,1.5,0.17175878651434706,0
0.28,0.4,0.05,3.0,0.4223305924390157,0
0.28,0.4,0.05,5.0,0.7968604933619746,1
0.28,0.4,0.05,6.63,0.9391170327885563,1
0.28,0.4,0.1,0.6,0.17144204002749866,0
0.28,0.4,0.1,1.5,0.3058822179501277,0
0.28,0.4,0.1,3.0,0.6083920921370326,1
0.28,0.4,0.1,5.0,0.8928853528014875,1
0.28,0.4,0.1,6.63,0.970394957458793,1
0.28,0.4,0.15,0.6,0.2487223806414029,0
0.28,0.4,0.15,1.5,0.41351873248613386,0
0.28,0.4,0.15,3.0,0.7131151694818292,1
0.28,0.4,0.15,5.0,0.9302516961407111,1
0.28,0.4,0.15,6.63,0.9812891222877501,1
0.28,0.6,0.01,0.6,0.01495932796625158,0
0.28,0.6,0.01,1.5,0.03133000028585741,0
0.28,0.6,0.01,3.0,0.10235312772337672,0
